,OOR_ID,Link,Agency,County,Officer,Phone,Email1,Email2,website,address,type,subtype,county,municipality,school_district,filepath
3058,3177.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3177,Conemaugh Valley School District,Cambria,Eric Miller,814-535-5005,emiller@cvk12.org,,http://www.cvk12.org,"1340 William Penn Avenue , Johnstown, PA 15906",Local,School District,Cambria,East Taylor Township,Conemaugh Valley School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3177_Conemaugh_Valley_School_District.pdf
3059,3178.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3178,Ferndale Area School District,Cambria,David Gates,814-535-1507,dgates@fasdk12.org,,http://www.fasdk12.org,"100 Dartmouth Ave , Johnstown, PA 15905",Local,School District,Cambria,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3178_Ferndale_Area_School_District.pdf
3060,3179.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3179,Forest Hills School District,Cambria,David L. Lehman,814-487-7613,dlehman@fhrangers.org,creighard@fhrangers.org,http://www.fhrangers.org,"549 Locust Street , PO Box 158 , Sidman, PA 15955",Local,School District,Cambria,Adams Twp,Forest Hills School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3179_Forest_Hills_School_District.pdf
3062,3181.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3181,Greater Johnstown School District,Cambria,Amy Arcurio,814-533-5650,rtklrequests@gjsd.net,rtklrequests@gjsd.net,http://www.gjsd.net,"1091 Broad Street , Johnstown, PA 15906",Local,School District,Cambria,Johnstown City,Greater Johnstown School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3181_Greater_Johnstown_School_District.pdf
3063,3182.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3182,Northern Cambria School District,Cambria,Robert Rocco,814-948-5481,rrocco@ncsd.k12.pa.us,,http://www.ncsd.k12.pa.us,"601 Joseph St , Northern Cambria, PA 15714",Local,School District,Cambria,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3182_Northern_Cambria_School_District.pdf
3064,3183.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3183,Penn Cambria School District,Cambria,William W. Marshall,814-886-8121,marshaww@pcam.org,,http://www.pcam.org,"201 6th Street , Cresson, PA 16630",Local,School District,Cambria,Cresson Boro,Penn Cambria School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3183_Penn_Cambria_School_District.pdf
3065,3184.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3184,Portage Area School District,Cambria,Denise Moschgat,814-736-9636,dmoschgat@mustangmail.org,,http://portageareasd.org,"84 Mountain Avenue , Portage, PA 15946",Local,School District,Cambria,Portage Boro,Portage Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3184_Portage_Area_School_District.pdf
3066,3185.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3185,Richland School District,Cambria,Arnold J. Nadonley,814-266-6063,anadonley@richlandsd.com,,http://www.richlandsd.com,"1 Academic Avenue, Suite 200 , Johnstown, PA 15904",Local,School District,Cambria,Richland Twp,Richland School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3185_Richland_School_District.pdf
3067,3186.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3186,Westmont Hilltop School District,Cambria,"Donald B. Irwin, Jr.",814-255-8710,dbi@whsd.org,,http://www.whsd.org/,"222 Fair Oaks Drive , Johnstown, PA 15905",Local,School District,Cambria,WESTMONT BORO,WESTMONT HILLTOP S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3186_Westmont_Hilltop_School_District.pdf
3068,3187.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3187,Cameron County School District,Cameron,Carl E. Mitchell,814-486-4000,carl.mitchell@camcosd.org,,http://www.camcosd.org/,"601 Woodland Avenue , Emporium, PA 15834",Local,School District,Cameron,Emporium Boro,Cameron County School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3187_Cameron_County_School_District.pdf
3070,3189.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3189,Jim Thorpe Area School District,Carbon,John Rushefski,570-325-3691,john.rushefski@jtasd.org,,http://www.jimthorpesd.org,"410 Center Avenue , Jim Thorpe, PA 18229",Local,School District,Carbon,Jim Thorpe Boro,Jim Thorpe Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3189_Jim_Thorpe_Area_School_District.pdf
3071,3190.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3190,Lehighton Area School District,Carbon,Dr. Christina Fish,610-377-4490,openrecordslasd@lehighton.org,,http://www.lehighton.org,"1000 Union Street , Lehighton, PA 18235",Local,School District,Carbon,Lehighton Boro,Lehighton Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3190_Lehighton_Area_School_District.pdf
3072,3191.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3191,Palmerton Area School District,Carbon,Ryan Kish,610-826-7101,rkish@palmerton.org,,http://www.palmerton.org,"680 4th Street , Palmerton, PA 18071",Local,School District,Carbon,Palmerton Boro,Palmerton Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3191_Palmerton_Area_School_District.pdf
3073,3192.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3192,Panther Valley School District,,,570-645-3176,,,http://www.panthervalley.org,"1 Panther Way , Lansford, PA 18232",Local,School District,,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3192_Panther_Valley_School_District.pdf
3074,3193.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3193,Weatherly Area School District,Carbon,Teresa M. Barna,570-427-8681,barnat@weatherlysd.org,barnat@weatherlysd.org,http://www.weatherlysd.org,"602 Sixth Street , Weatherly, PA 18255",Local,School District,Carbon,Weatherly Boro,Weatherly Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3193_Weatherly_Area_School_District.pdf
3075,3195.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3195,Bald Eagle Area School District,Centre,Curtis Whitesel,814-355-4860,curt.whitesel@beasd.net,,http://www.beasd.org,"751 South Eagle Valley Road , Wingate, PA 16823",Local,School District,Centre,Wingate,Bald Eagle Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3195_Bald_Eagle_Area_School_District.pdf
3076,3196.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3196,Bellefonte Area School District,Centre,Michelle Saylor,814-355-4814,righttoknow@basd.net,lelder@basd.net,http://www.basd.net,"318 North Allegheny Street , Bellefonte, PA 16823",Local,School District,Centre,,BELLEFONTE AREA S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3196_Bellefonte_Area_School_District.pdf
3080,3200.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3200,Penns Valley Area School District,Centre,Brian K. Griffith,814-422-2000,bgriffith@pennsvalley.org,,http://www.pennsvalley.org,"4528 Penns Valley Road , Spring Mills, PA 16875",Local,School District,Centre,,Penns Valley Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3200_Penns_Valley_Area_School_District.pdf
3081,3201.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3201,State College Area School District,Centre,Randy L Brown,814-231-1021,openrecords@scasd.org,,http://www.scasd.org,"240 Villa Crest Drive , State College, PA 16801",Local,School District,Centre,College Township,State College Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3201_State_College_Area_School_District.pdf
3087,3207.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3207,Avon Grove School District,Chester,Daniel R. Carsley,610-869-2441,dcarsley@avongrove.org,,http://www.avongrove.org,"375 S. Jennersville Road , West Grove, PA 19390",Local,School District,Chester,,AVON GROVE S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3207_Avon_Grove_School_District.pdf
3090,3210.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3210,Coatesville Area School District,Chester,Pamela Kiley,610-466-2400,openrecords@casdschools.org,,http://www.coatesville.k12.pa.us,"3030 C.G. Zinn Road , Coatesville, PA 19372",Local,School District,Chester,Caln Twp,Coatesville Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3210_Coatesville_Area_School_District.pdf
3092,3212.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3212,Downingtown Area School District,Chester,,610-269-8460,vwarihay@dasd.org,,http://www.dasd.org,"540 Trestle Place , Downingtown, PA 19335",Local,School District,Chester,East Caln Twp,Downingtown Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3212_Downingtown_Area_School_District.pdf
3093,3215.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3215,Great Valley School District,Chester,"Charles Peterson, Jr.",610-889-2100,boardsecretary@gvsd.org,,http://www.gvsd.org,"301 Lindenwood Drive , Suite 205 , Malvern, PA 19355",Local,School District,Chester,East Whiteland Twp,Great Valley School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3215_Great_Valley_School_District.pdf
3094,3216.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3216,Kennett Consolidated School District,Chester,"D. Dusty Blakey, Ed.D.",610-444-6600,dblakey@kcsd.org,,http://www.kcsd.org,"300 East South Street , Kennett Square, PA 19348",Local,School District,Chester,Kennett Square,Kennett Consolidated S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3216_Kennett_Consolidated_School_District.pdf
3095,3217.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3217,Octorara Area School District,Chester,,610-593-8238,jcurtis@octorara.org,,http://www.octorara.k12.pa.us/,"228 Highland Rd Suite 1 , Atglen, PA 19310",Local,School District,Chester,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3217_Octorara_Area_School_District.pdf
3096,3218.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3218,Owen J Roberts School District,Chester,Jaclin B. Krumrine,610-469-5100,ktroutman@ojrsd.com,,http://www.ojrsd.com,"901 Ridge Road , Pottstown, PA 19465",Local,School District,Chester,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3218_Owen_J_Roberts_School_District.pdf
3097,3219.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3219,Oxford Area School District,Chester,,610-932-6600,bcooney@oxfordasd.org,,http://www.oxford.k12.pa.us,"125 Bell Tower Lane , Oxford, PA 19363",Local,School District,Chester,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3219_Oxford_Area_School_District.pdf
3099,3221.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3221,Phoenixville Area School District,Chester,Dr. Jeremy Melber,484-927-5000,righttoknow@pasd.com,,http://www.pasd.com,"386 City Line Avenue , Phoenixville, PA 19460",Local,School District,Chester,Phoenixville Boro,Phoenixville Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3221_Phoenixville_Area_School_District.pdf
3101,3224.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3224,Tredyffrin-Easttown School District,Chester,Arthur J. McDonnell,610-240-1900,mcdonnella@tesd.net,,http://www.tesd.net,"940 West Valley Road, Suite 1700 , Wayne, PA 19087",Local,School District,Chester,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3224_Tredyffrin-Easttown_School_District.pdf
3102,3225.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3225,Unionville-Chadds Ford School District,Chester,Joseph Deady,610-347-0970,openrecordsofficer@ucfsd.net,,http://www.ucfsd.org,"740 Unionville Road , Kennett Square, PA 19348",Local,School District,Chester,East Marlborough Twp,Unionville-Chadds Ford School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3225_Unionville-Chadds_Ford_School_District.pdf
3103,3226.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3226,West Chester Area School District,Chester,Carol DeLuca,484-266-1014,openrecordsofficer@wcasd.net,cdeluca@wcasd.net,http://www.wcasd.net,"782 Springdale Drive , Exton, PA 19341",Local,School District,Chester,West Whiteland Twp,West Chester Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3226_West_Chester_Area_School_District.pdf
3104,3227.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3227,Allegheny-Clarion Valley School District,Clarion,Andrea Stewart,724-659-5820,andrea.stewart@acvsd.org,,http://www.acvsd.org,"776 Route 58 , PO Box 100 , Foxburg, PA 16036",Local,School District,Clarion,Foxburg Boro,Allegheny-Clarion Valley School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3227_Allegheny-Clarion_Valley_School_District.pdf
3105,3228.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3228,Clarion Area School District,Clarion,,814-226-6110,lschierberl@clarion-schools.com,,http://www.clarion-schools.com,"221 Liberty St , Clarion, PA 16214",Local,School District,Clarion,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3228_Clarion_Area_School_District.pdf
3107,3230.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3230,Clarion-Limestone Area School District,Clarion,Donna M. Smith,814-764-5111,dsmith@clasd.net,,http://www.clasd.net,"4091 C-L School Road , Strattanville, PA 16258",Local,School District,Clarion,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3230_Clarion-Limestone_Area_School_District.pdf
3108,3231.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3231,Keystone School District,Clarion,Vernon F. Lauffer,814-797-5921,vlauffer@keyknox.com,,http://www.keyknox.com,"451 Huston Avenue , Knox, PA 16232",Local,School District,Clarion,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3231_Keystone_School_District.pdf
3109,3232.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3232,North Clarion County School District,Clarion,Steven Young,814-744-8536,syoung@nccsd.org,,http://www.northclarion.org,"10439 Route 36 , Tionesta, PA 16353",Local,School District,Clarion,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3232_North_Clarion_County_School_District.pdf
3110,3233.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3233,Redbank Valley School District,Clarion,John R. Mastillo,814-275-2426,jmastillo@redbankvalley.net,,http://www.redbankvalley.net,"920 E Broad St , New Bethlehem, PA 16242",Local,School District,Clarion,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3233_Redbank_Valley_School_District.pdf
3111,3234.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3234,Union School District,Clarion,Kristen R. Smith,814-473-6311,smithkr@unionsd.net,,http://www.unionsd.net/usd,"354 Baker Street, Suite 2 , Rimersburg, PA 16248",Local,School District,Clarion,Rimersburg Boro,Union School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3234_Union_School_District.pdf
3112,3235.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3235,Clearfield Area School District,Clearfield,Kayla Caragein,814-765-5511,kcaragein@clearfield.org,,http://www.clearfield.org,"2831 Washington Avenue , P.O. Box 710 , Clearfield, PA 16830",Local,School District,Clearfield,Clearfield Boro,Clearfield Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3235_Clearfield_Area_School_District.pdf
3114,3237.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3237,Curwensville Area School District,Clearfield,Paul S. Carr,814-236-1101,pcarr@curwensville.org,,http://www.curwensville.org,"650 Beech St , Curwensville, PA 16833-1533",Local,School District,Clearfield,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3237_Curwensville_Area_School_District.pdf
3115,3238.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3238,Dubois Area School District,Clearfield,Mary Gilbert,814-371-2700,mgilbert@dasd.k12.pa.us,,http://www.dasd.k12.pa.us,"500 Liberty Boulevard , DuBois, PA 15801",Local,School District,Clearfield,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3238_Dubois_Area_School_District.pdf
3116,3239.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3239,Glendale School District,Clearfield,Jeffrey V. Westover,814-687-3402,jwestover@gsd1.org,,http://www.gsd1.org/,"1466 Beaver Valley Rd , Flinton, PA 16640",Local,School District,Clearfield,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3239_Glendale_School_District.pdf
3117,3240.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3240,Harmony Area School District,Clearfield,,814-845-7918,dcampbell@harmonyowls.com,,http://www.harmonyowls.com,"5239 Ridge Road , Westover, PA 16692",Local,School District,Clearfield,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3240_Harmony_Area_School_District.pdf
3118,3241.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3241,Moshannon Valley School District,Clearfield,Lanette Stodart,814-378-7609,lstodart@movalley.org,,http://www.movalley.org,"4934 Green Acre Rd , Houtzdale, PA 16651",Local,School District,Clearfield,Bigler Twp,Moshannon Valley School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3241_Moshannon_Valley_School_District.pdf
3119,3242.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3242,Philipsburg-Osceola Area School District,Clearfield,,814-342-1050,vlukaschunis@pomounties.org,,http://www.pomounties.org,"200 Short St , Philipsburg, PA 16866",Local,School District,Clearfield,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3242_Philipsburg-Osceola_Area_School_District.pdf
3120,3243.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3243,West Branch Area School District,Clearfield,Kasi Woodring,814-345-5615,kwoodring@westbranch.org,,http://www.westbranch.org,"516 Allport Cutoff , Morrisdale, PA 16858",Local,School District,Clearfield,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3243_West_Branch_Area_School_District.pdf
3122,3245.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3245,Keystone Central School District,Clinton,Mark Condo,570-893-4900,openrecords@kcsd.k12.pa.us,,http://www.kcsd.k12.pa.us/,"86 Administrative Drive , Mill Hall, PA 17751",Local,School District,Clinton,Mill Hall Boro,Keystone Central School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3245_Keystone_Central_School_District.pdf
3124,3247.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3247,Benton Area School District,Columbia,,570-925-6651,bpeterson@bentonsd.org,,http://www.bentonsd.k12.pa.us,"600 Green Acres Rd , Benton, PA 17814",Local,School District,Columbia,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3247_Benton_Area_School_District.pdf
3125,3248.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3248,Berwick Area School District,Columbia,Tina Hrinda,570-759-6400,thrinda@berwicksd.org,,http://www.berwicksd.org,"500 Line Street , Berwick, PA 18603",Local,School District,Columbia,Berwick Boro,BERWICK AREA S D,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3248_Berwick_Area_School_District.pdf
3126,3249.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3249,Bloomsburg Area School District,Columbia,David J. Marsiglio,570-784-5000,dmarsiglio@bloomsd.k12.pa.us,,http://www.bloomsburgasd.schoolwires.com,"728 E 5th St , Bloomsburg, PA 17815",Local,School District,Columbia,Bloomsburg Town,Bloomsburg Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3249_Bloomsburg_Area_School_District.pdf
3127,3250.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3250,Central Columbia School District,Columbia,Harry C Mathias Jr,570-784-2850,rtretter@ccsd.cc,hmathias@ccsd.cc,http://www.ccsd.cc,"4777 Old Berwick Road , Bloomsburg, PA 17815",Local,School District,Columbia,South Centre Twp,Central Columbia School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3250_Central_Columbia_School_District.pdf
3129,3252.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3252,Millville Area School District,Columbia,Kaitlin Rosselli,570-458-5538,krosselli@millsd.us,krosselli@millsd.us,http://www.millville.k12.pa.us,"330 East Main St , Millville, PA 17846",Local,School District,Columbia,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3252_Millville_Area_School_District.pdf
3130,3253.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3253,Southern Columbia Area School District,Columbia,Paul R. Caputo,570-356-3501,pcaputo@scasd.us,,http://www.scasd.us,"800 Southern Drive , Catawissa, PA 17820",Local,School District,Columbia,Franklin Township,Southern Columbia Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3253_Southern_Columbia_Area_School_District.pdf
3131,3254.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3254,Conneaut School District,Crawford,Beth Moss,814-683-5900,bmoss@conneautsd.org,,http://www.conneautsd.org/,"219 W School Drive , Linesville, PA 16424",Local,School District,Crawford,Linesville,Conneaut School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3254_Conneaut_School_District.pdf
3132,3255.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3255,Crawford Central School District,Crawford,Guy O'Neil,814-724-3960,phyllis.lord@craw.org,,http://www.craw.org,"11280 Mercer Pike , Meadville, PA 16335",Local,School District,Crawford,,,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3255_Crawford_Central_School_District.pdf
3134,3257.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3257,Penncrest School District,Crawford,Christine Shields,814-337-1600,openrecords@penncrest.org,,http://www.penncrest.org,"PO Box 808 , Saegertown, PA 16433",Local,School District,Crawford,Saegertown Boro,Penncrest School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3257_Penncrest_School_District.pdf
3135,3258.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3258,Big Spring School District,Cumberland,Michael Statler,717-776-2404,mstatler@bigspring.k12.pa.us,,http://www.bigspringsd.org,"45 Mount Rock Road , Newville, PA 17241",Local,School District,Cumberland,West Pennsboro Twp,Big Spring School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3258_Big_Spring_School_District.pdf
3136,3259.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3259,Camp Hill School District,Cumberland,Tina Darchicourt,717-901-2400,openrecordsofficer@camphillsd.k12.pa.us,tdarchicourt@camphillsd.k12.pa.us,http://www.camphillsd.k12.pa.us/,"2627 Chestnut Street , Camp Hill, PA 17011",Local,School District,Cumberland,Camp Hill Boro,Camp Hill School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3259_Camp_Hill_School_District.pdf
3137,3260.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3260,Carlisle Area School District,Cumberland,Colleen Friend,717-240-6800,friendc@carlisleschools.org,friendc@carlisleschools.org,http://www.carlisleschools.org,"540 W. North Street , Carlisle, PA 17013",Local,School District,Cumberland,,Carlisle Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3260_Carlisle_Area_School_District.pdf
3138,3261.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3261,Cumberland Valley School District,Cumberland,Tracy Panzer,717-697-8261,openrecords@cvschools.org,,http://www.cvschools.org,"6746 Carlisle Pike , Mechanicsburg, PA 17050",Local,School District,Cumberland,Hampden Twp,Cumberland Valley School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3261_Cumberland_Valley_School_District.pdf
3140,3263.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3263,East Pennsboro Area School District,Cumberland,Dr. Michael Robinson,717-732-3601,mrobinson@epasd.org,,http://www.epasd.org,"890 Valley St , Enola, PA 17025",Local,School District,Cumberland,East Pennsboro Twp,East Pennsboro Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3263_East_Pennsboro_Area_School_District.pdf
3141,3264.0,https://www.openrecords.pa.gov/RTKL/AOROInfo.cfm?id=3264,Mechanicsburg Area School District,Cumberland,Greg Longwell,717-691-4500,openrecordsofficer@mbgsd.org,,http://www.mbgsd.org,"1225 South Market Street , Suite 1 , Mechanicsburg, PA 17055",Local,School District,Cumberland,Upper Allen Township,Mechanicsburg Area School District,c:\Users\myles\OneDrive\Floppy Disc Photos 2019\Documents\RTK-Project\SchoolRTK\RTK_3264_Mechanicsburg_Area_School_District.pdf
